request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,851.0,affordable_with_plan,installments,2024-06-20:72.50|2024-07-18:72.50|2024-08-15:72.50|2024-09-12:72.50|2024-10-10:72.50|2024-11-07:72.50|2024-12-05:72.50|2025-01-02:72.50|2025-01-30:72.50|2025-02-27:72.50|2025-03-27:72.50|2025-04-24:72.50|2025-05-22:72.50|2025-06-19:72.50|2025-07-17:72.50|2025-08-14:72.50|2025-09-11:72.50|2025-10-09:72.50|2025-11-06:72.50|2025-12-04:72.50|2026-01-01:72.50,,none,Recommended installments. Evaluated safety over 90 days.
request_41,21888950.0,affordable_later,wait,none,2025-11-15,none,Recommended wait. Evaluated safety over 90 days.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_43,13988750.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_44,74560.0,affordable_with_plan,installments,2025-02-18:7025.33|2025-03-20:7025.33|2025-04-19:7025.33|2025-05-19:7025.33|2025-06-18:7025.33|2025-07-18:7025.33|2025-08-17:7025.33|2025-09-16:7025.33|2025-10-16:7025.33|2025-11-15:7025.33|2025-12-15:7025.33|2026-01-14:7025.33|2026-02-13:7025.33|2026-03-15:7025.33|2026-04-14:7025.33,,none,Recommended installments. Evaluated safety over 90 days.
request_45,8833100.0,affordable_with_plan,installments,2026-07-06:1392256.67|2026-08-06:1392256.67|2026-09-06:1392256.67|2026-10-07:1392256.67|2026-11-07:1392256.67|2026-12-08:1392256.67|2027-01-08:1392256.67|2027-02-08:1392256.67|2027-03-11:1392256.67|2027-04-11:1392256.67|2027-05-12:1392256.67|2027-06-12:1392256.67|2027-07-13:1392256.67|2027-08-13:1392256.67|2027-09-13:1392256.67|2027-10-14:1392256.67|2027-11-14:1392256.67|2027-12-15:1392256.67,,none,Recommended installments. Evaluated safety over 90 days.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:49450.00,2024-12-03,none,Recommended installments. Evaluated safety over 90 days.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,Recommended full_payment. Evaluated safety over 90 days.
request_49,20228793.34,affordable_with_plan,installments,2024-03-04:1929187.62|2024-04-01:1929187.62|2024-04-29:1929187.62|2024-05-27:1929187.62|2024-06-24:1929187.62|2024-07-22:1929187.62|2024-08-19:1929187.62|2024-09-16:1929187.62|2024-10-14:1929187.62|2024-11-11:1929187.62|2024-12-09:1929187.62|2025-01-06:1929187.62|2025-02-03:1929187.62|2025-03-03:1929187.62|2025-03-31:1929187.62|2025-04-28:1929187.62|2025-05-26:1929187.62|2025-06-23:1929187.62|2025-07-21:1929187.62|2025-08-18:1929187.62|2025-09-15:1929187.62,,none,Recommended installments. Evaluated safety over 90 days.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.00,2024-06-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_53,1423.42,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-06:124.61|2026-02-05:124.61|2026-03-07:124.61|2026-04-06:124.61|2026-05-06:124.61|2026-06-05:124.61|2026-07-05:124.61|2026-08-04:124.61|2026-09-03:124.61|2026-10-03:124.61|2026-11-02:124.61|2026-12-02:124.61|2027-01-01:124.61,,none,Recommended installments. Evaluated safety over 90 days.
request_54,16581.4,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_55,176241.19,affordable_with_plan,installments,2026-06-15:12283.24|2026-07-13:12283.24|2026-08-10:12283.24|2026-09-07:12283.24|2026-10-05:12283.24|2026-11-02:12283.24|2026-11-30:12283.24|2026-12-28:12283.24|2027-01-25:12283.24|2027-02-22:12283.24|2027-03-22:12283.24|2027-04-19:12283.24|2027-05-17:12283.24|2027-06-14:12283.24|2027-07-12:12283.24|2027-08-09:12283.24|2027-09-06:12283.24|2027-10-04:12283.24|2027-11-01:12283.24|2027-11-29:12283.24|2027-12-27:12283.24,,none,Recommended installments. Evaluated safety over 90 days.
request_56,881.56,affordable_with_plan,installments,2025-02-03:881.56,2025-02-03,none,Recommended installments. Evaluated safety over 90 days.
request_57,21214.6,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_59,140600.0,affordable_with_plan,installments,2025-05-04:140600.00,2025-05-04,none,Recommended installments. Evaluated safety over 90 days.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-03:29062.00,2024-03-03,none,Recommended installments. Evaluated safety over 90 days.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_63,90145.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_64,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_65,13024.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_67,792.54,affordable_with_plan,installments,2024-09-12:117.66|2024-10-10:117.66|2024-11-07:117.66|2024-12-05:117.66|2025-01-02:117.66|2025-01-30:117.66|2025-02-27:117.66|2025-03-27:117.66|2025-04-24:117.66|2025-05-22:117.66|2025-06-19:117.66|2025-07-17:117.66|2025-08-14:117.66|2025-09-11:117.66|2025-10-09:117.66|2025-11-06:117.66|2025-12-04:117.66|2026-01-01:117.66|2026-01-29:117.66|2026-02-26:117.66|2026-03-26:117.66,2024-09-15,none,Recommended installments. Evaluated safety over 90 days.
request_68,2091.6,affordable_with_plan,installments,2025-02-07:2091.60,2025-02-07,none,Recommended installments. Evaluated safety over 90 days.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_70,93360.0,affordable_with_plan,installments,2024-12-09:13704.86|2025-01-06:13704.86|2025-02-03:13704.86|2025-03-03:13704.86|2025-03-31:13704.86|2025-04-28:13704.86|2025-05-26:13704.86|2025-06-23:13704.86|2025-07-21:13704.86|2025-08-18:13704.86|2025-09-15:13704.86|2025-10-13:13704.86|2025-11-10:13704.86|2025-12-08:13704.86|2026-01-05:13704.86|2026-02-02:13704.86|2026-03-02:13704.86|2026-03-30:13704.86|2026-04-27:13704.86|2026-05-25:13704.86|2026-06-22:13704.86,,none,Recommended installments. Evaluated safety over 90 days.
request_71,7485050.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,Recommended full_payment. Evaluated safety over 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_75,28270.0,affordable_with_plan,installments,2026-04-06:28270.00,2026-04-06,none,Recommended installments. Evaluated safety over 90 days.
request_76,1538.8,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.00,2025-10-02,none,Recommended full_payment. Evaluated safety over 90 days.
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,Recommended partial_payment. Evaluated safety over 90 days.
request_80,152115.0,affordable_with_plan,installments,2025-02-20:15950.00|2025-03-22:15950.00|2025-04-21:15950.00|2025-05-21:15950.00|2025-06-20:15950.00|2025-07-20:15950.00|2025-08-19:15950.00|2025-09-18:15950.00|2025-10-18:15950.00|2025-11-17:15950.00|2025-12-17:15950.00|2026-01-16:15950.00|2026-02-15:15950.00|2026-03-17:15950.00|2026-04-16:15950.00,,none,Recommended installments. Evaluated safety over 90 days.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_82,1011.4,affordable_with_plan,installments,2024-12-08:78.96|2025-01-05:78.96|2025-02-02:78.96|2025-03-02:78.96|2025-03-30:78.96|2025-04-27:78.96|2025-05-25:78.96|2025-06-22:78.96|2025-07-20:78.96|2025-08-17:78.96|2025-09-14:78.96|2025-10-12:78.96|2025-11-09:78.96|2025-12-07:78.96|2026-01-04:78.96|2026-02-01:78.96|2026-03-01:78.96|2026-03-29:78.96|2026-04-26:78.96|2026-05-24:78.96|2026-06-21:78.96,,none,Recommended installments. Evaluated safety over 90 days.
request_83,28330.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_84,56565.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_85,2422120.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_87,92850.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_88,15557.89,affordable_with_plan,installments,2024-06-21:1466.12|2024-07-19:1466.12|2024-08-16:1466.12|2024-09-13:1466.12|2024-10-11:1466.12|2024-11-08:1466.12|2024-12-06:1466.12|2025-01-03:1466.12|2025-01-31:1466.12|2025-02-28:1466.12|2025-03-28:1466.12|2025-04-25:1466.12|2025-05-23:1466.12|2025-06-20:1466.12|2025-07-18:1466.12|2025-08-15:1466.12|2025-09-12:1466.12|2025-10-10:1466.12|2025-11-07:1466.12|2025-12-05:1466.12|2026-01-02:1466.12,,none,Recommended installments. Evaluated safety over 90 days.
request_89,13756000.0,affordable_with_plan,installments,2025-11-04:13756000.00,2025-11-04,none,Recommended installments. Evaluated safety over 90 days.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.20,2024-09-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_95,137865.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_96,90200.0,affordable_with_plan,installments,2026-01-03:90200.00,2026-01-03,none,Recommended installments. Evaluated safety over 90 days.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Recommended installments. Evaluated safety over 90 days.
request_98,17244.7,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_100,34836.13,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Recommended installments. Evaluated safety over 90 days.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:1716.00,2026-04-05,none,Recommended installments. Evaluated safety over 90 days.
request_103,35759.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,Recommended full_payment. Evaluated safety over 90 days.
request_106,1401.7,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_107,2534.4,affordable_with_plan,installments,2025-05-05:2534.40,2025-05-05,none,Recommended installments. Evaluated safety over 90 days.
request_108,7836.4,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Recommended installments. Evaluated safety over 90 days.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:22352.00,2025-08-06,none,Recommended installments. Evaluated safety over 90 days.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.00,2026-09-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_115,27135.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_116,58075.0,affordable_with_plan,installments,2025-02-17:17688.00|2025-03-19:17688.00|2025-04-18:17688.00|2025-05-18:17688.00|2025-06-17:17688.00|2025-07-17:17688.00|2025-08-16:17688.00|2025-09-15:17688.00|2025-10-15:17688.00|2025-11-14:17688.00|2025-12-14:17688.00|2026-01-13:17688.00|2026-02-12:17688.00|2026-03-14:17688.00|2026-04-13:17688.00,,none,Recommended installments. Evaluated safety over 90 days.
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_118,738.1,affordable_with_plan,installments,2024-12-07:738.10,2024-12-07,none,Recommended installments. Evaluated safety over 90 days.
request_119,130901.01,affordable_with_plan,installments,2025-05-11:14923.33|2025-06-10:14923.33|2025-07-10:14923.33|2025-08-09:14923.33|2025-09-08:14923.33|2025-10-08:14923.33|2025-11-07:14923.33|2025-12-07:14923.33|2026-01-06:14923.33|2026-02-05:14923.33|2026-03-07:14923.33|2026-04-06:14923.33|2026-05-06:14923.33|2026-06-05:14923.33|2026-07-05:14923.33,,none,Recommended installments. Evaluated safety over 90 days.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:20558000.00,2025-08-05,none,Recommended installments. Evaluated safety over 90 days.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Recommended installments. Evaluated safety over 90 days.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980.00,2024-09-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_129,288.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_130,917.46,affordable_with_plan,installments,2024-12-09:111.19|2025-01-06:111.19|2025-02-03:111.19|2025-03-03:111.19|2025-03-31:111.19|2025-04-28:111.19|2025-05-26:111.19|2025-06-23:111.19|2025-07-21:111.19|2025-08-18:111.19|2025-09-15:111.19|2025-10-13:111.19|2025-11-10:111.19|2025-12-08:111.19|2026-01-05:111.19|2026-02-02:111.19|2026-03-02:111.19|2026-03-30:111.19|2026-04-27:111.19|2026-05-25:111.19|2026-06-22:111.19,,none,Recommended installments. Evaluated safety over 90 days.
request_131,1855.2,affordable_with_plan,installments,2025-05-03:1855.20,2025-05-03,none,Recommended installments. Evaluated safety over 90 days.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,Recommended not_recommended. Evaluated safety over 90 days.
request_134,12118200.0,affordable_later,wait,none,2025-08-15,none,Recommended wait. Evaluated safety over 90 days.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_137,67960.0,affordable_with_plan,installments,2025-11-05:5874.00|2025-12-05:5874.00|2026-01-04:5874.00|2026-02-03:5874.00|2026-03-05:5874.00|2026-04-04:5874.00|2026-05-04:5874.00|2026-06-03:5874.00|2026-07-03:5874.00|2026-08-02:5874.00|2026-09-01:5874.00|2026-10-01:5874.00|2026-10-31:5874.00|2026-11-30:5874.00|2026-12-30:5874.00,,none,Recommended installments. Evaluated safety over 90 days.
request_138,1209.9,affordable_with_plan,installments,2026-04-12:333.09|2026-05-12:333.09|2026-06-11:333.09|2026-07-11:333.09,,none,Recommended installments. Evaluated safety over 90 days.
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Recommended installments. Evaluated safety over 90 days.
request_140,11074.8,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_141,51435.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_143,8384.2,affordable_with_plan,installments,2025-05-14:922.83|2025-06-13:922.83|2025-07-13:922.83|2025-08-12:922.83|2025-09-11:922.83|2025-10-11:922.83|2025-11-10:922.83|2025-12-10:922.83|2026-01-09:922.83|2026-02-08:922.83|2026-03-10:922.83|2026-04-09:922.83|2026-05-09:922.83|2026-06-08:922.83|2026-07-08:922.83,,none,Recommended installments. Evaluated safety over 90 days.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_145,105613.66,affordable_with_plan,installments,2024-03-06:12215.81|2024-04-03:12215.81|2024-05-01:12215.81|2024-05-29:12215.81|2024-06-26:12215.81|2024-07-24:12215.81|2024-08-21:12215.81|2024-09-18:12215.81|2024-10-16:12215.81|2024-11-13:12215.81|2024-12-11:12215.81|2025-01-08:12215.81|2025-02-05:12215.81|2025-03-05:12215.81|2025-04-02:12215.81|2025-04-30:12215.81|2025-05-28:12215.81|2025-06-25:12215.81|2025-07-23:12215.81|2025-08-20:12215.81|2025-09-17:12215.81,,none,Recommended installments. Evaluated safety over 90 days.
request_146,81465.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_147,741.53,affordable_with_plan,installments,2026-04-12:71.55|2026-05-13:71.55|2026-06-13:71.55|2026-07-14:71.55|2026-08-14:71.55|2026-09-14:71.55|2026-10-15:71.55|2026-11-15:71.55|2026-12-16:71.55|2027-01-16:71.55|2027-02-16:71.55|2027-03-19:71.55|2027-04-19:71.55|2027-05-20:71.55|2027-06-20:71.55|2027-07-21:71.55|2027-08-21:71.55|2027-09-21:71.55,,none,Recommended installments. Evaluated safety over 90 days.
request_148,13181.08,affordable_with_plan,installments,2024-06-21:1249.79|2024-07-19:1249.79|2024-08-16:1249.79|2024-09-13:1249.79|2024-10-11:1249.79|2024-11-08:1249.79|2024-12-06:1249.79|2025-01-03:1249.79|2025-01-31:1249.79|2025-02-28:1249.79|2025-03-28:1249.79|2025-04-25:1249.79|2025-05-23:1249.79|2025-06-20:1249.79|2025-07-18:1249.79|2025-08-15:1249.79|2025-09-12:1249.79|2025-10-10:1249.79|2025-11-07:1249.79|2025-12-05:1249.79|2026-01-02:1249.79,,none,Recommended installments. Evaluated safety over 90 days.
request_149,36652.0,affordable_with_plan,installments,2025-11-04:36652.00,2025-11-04,none,Recommended installments. Evaluated safety over 90 days.
request_150,496.1,affordable_with_plan,installments,2026-01-06:496.10,2026-01-06,none,Recommended installments. Evaluated safety over 90 days.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_152,13882.0,affordable_with_plan,installments,2025-02-05:13882.00,2025-02-05,none,Recommended installments. Evaluated safety over 90 days.
request_153,503.6,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:1625.80,2024-12-04,none,Recommended installments. Evaluated safety over 90 days.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_156,13588.3,affordable_with_plan,installments,2026-04-17:2728.15|2026-05-18:2728.15|2026-06-18:2728.15|2026-07-19:2728.15|2026-08-19:2728.15|2026-09-19:2728.15|2026-10-20:2728.15|2026-11-20:2728.15|2026-12-21:2728.15|2027-01-21:2728.15|2027-02-21:2728.15|2027-03-24:2728.15|2027-04-24:2728.15|2027-05-25:2728.15|2027-06-25:2728.15|2027-07-26:2728.15|2027-08-26:2728.15|2027-09-26:2728.15,,none,Recommended installments. Evaluated safety over 90 days.
request_157,10091850.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:242600.00,2025-08-07,none,Recommended installments. Evaluated safety over 90 days.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_160,857.61,affordable_with_plan,installments,2024-06-20:70.03|2024-07-18:70.03|2024-08-15:70.03|2024-09-12:70.03|2024-10-10:70.03|2024-11-07:70.03|2024-12-05:70.03|2025-01-02:70.03|2025-01-30:70.03|2025-02-27:70.03|2025-03-27:70.03|2025-04-24:70.03|2025-05-22:70.03|2025-06-19:70.03|2025-07-17:70.03|2025-08-14:70.03|2025-09-11:70.03|2025-10-09:70.03|2025-11-06:70.03|2025-12-04:70.03|2026-01-01:70.03,,none,Recommended installments. Evaluated safety over 90 days.
request_161,17241550.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_162,8601300.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_163,19304000.0,affordable_with_plan,installments,2024-09-07:19304000.00,2024-09-07,none,Recommended installments. Evaluated safety over 90 days.
request_164,27018000.0,affordable_with_plan,installments,2025-02-04:27018000.00,2025-02-04,none,Recommended installments. Evaluated safety over 90 days.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:2907.60,2024-12-03,none,Recommended installments. Evaluated safety over 90 days.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_168,49380.0,not_affordable,not_recommended,none,2026-01-07,none,Recommended not_recommended. Evaluated safety over 90 days.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:36936000.00,2025-08-06,none,Recommended installments. Evaluated safety over 90 days.
request_171,310.65,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:10200.00,2024-06-05,none,Recommended installments. Evaluated safety over 90 days.
request_173,83190.53,affordable_with_plan,installments,2025-11-07:8286.67|2025-12-07:8286.67|2026-01-06:8286.67|2026-02-05:8286.67|2026-03-07:8286.67|2026-04-06:8286.67|2026-05-06:8286.67|2026-06-05:8286.67|2026-07-05:8286.67|2026-08-04:8286.67|2026-09-03:8286.67|2026-10-03:8286.67|2026-11-02:8286.67|2026-12-02:8286.67|2027-01-01:8286.67,,none,Recommended installments. Evaluated safety over 90 days.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:1146.20,2026-04-04,none,Recommended installments. Evaluated safety over 90 days.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Recommended full_payment. Evaluated safety over 90 days.
